walk_2_2,NAME:,,
08/06/2023 10:46,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
85,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
-11.92,0.25,-0.42,26.711
-11.92,0.25,-0.42,26.794
-12.6,0,0.26,26.882
-12.3,0.5,0.9,26.942
-13.11,-1.12,2.38,27.024
-13.11,-1.12,2.38,27.109
-13.11,-1.12,2.38,27.199
-13.11,-1.12,2.38,27.292
-13.11,-1.12,2.38,27.381
-13.11,-1.12,2.38,27.439
-13.11,-1.12,2.38,27.524
-13.11,-1.12,2.38,27.615
-12.94,-0.78,1.16,27.702
-14.11,-2.14,0.37,27.759
-12.4,-2.39,-0.5,27.846
-12.4,-2.39,-0.5,27.94
-12.4,-2.39,-0.5,28.027
-12.4,-2.39,-0.5,28.091
-12.4,-2.39,-0.5,28.179
-12.4,-2.39,-0.5,28.267
-12.4,-2.39,-0.5,28.326
-12.4,-2.39,-0.5,28.411
-12.53,-2.33,0.72,28.502
-11.49,-2.85,1.91,28.584
-10.89,-1.87,1.48,28.671
-10.89,-1.87,1.48,28.734
-10.89,-1.87,1.48,28.82
-10.89,-1.87,1.48,28.91
-10.89,-1.87,1.48,28.999
-10.89,-1.87,1.48,29.061
-10.89,-1.87,1.48,29.151
-10.89,-1.87,1.48,29.24
-11.38,-3.82,0.73,29.297
-10.77,-2.89,0.24,29.384
-12.62,-3.32,0.3,29.472
-12.62,-3.32,0.3,29.559
-12.62,-3.32,0.3,29.648
-12.62,-3.32,0.3,29.714
-12.62,-3.32,0.3,29.799
-12.62,-3.32,0.3,29.859
-12.62,-3.32,0.3,29.95
-12.62,-3.32,0.3,30.038
-10.51,-2.04,-0.18,30.127
-11.23,-1.92,-0.71,30.223
-10.29,-1.16,-0.63,30.282
-10.29,-1.16,-0.63,30.368
-10.29,-1.16,-0.63,30.462
-10.29,-1.16,-0.63,30.552
-10.29,-1.16,-0.63,30.615
-10.29,-1.16,-0.63,30.701
-10.29,-1.16,-0.63,30.761
-10.29,-1.16,-0.63,30.846
-12.07,-1.69,0.04,30.941
-11.27,-2.07,-0.03,31.028
-11.19,-2,0.31,31.119
-11.19,-2,0.31,31.183
-11.19,-2,0.31,31.267
-11.19,-2,0.31,31.36
-11.19,-2,0.31,31.423
-11.19,-2,0.31,31.479
-11.19,-2,0.31,31.569
-11.19,-2,0.31,31.665
-10.4,-1.7,0.48,31.762
-10.43,-1.27,0.67,31.824
-10.88,-1.37,-0.1,31.914
-10.88,-1.37,-0.1,31.975
-10.88,-1.37,-0.1,32.062
-10.88,-1.37,-0.1,32.154
-10.88,-1.37,-0.1,32.216
-10.88,-1.37,-0.1,32.305
-10.88,-1.37,-0.1,32.39
-10.88,-1.37,-0.1,32.482
-10.8,-1.4,-0.61,32.542
-10.92,-1.23,-0.29,32.602
-10.15,-1.73,0.89,32.69
-10.15,-1.73,0.89,32.781
-10.15,-1.73,0.89,32.871
-10.15,-1.73,0.89,32.965
-10.15,-1.73,0.89,33.03
-10.15,-1.73,0.89,33.12
-10.15,-1.73,0.89,33.184
-10.15,-1.73,0.89,33.272
-9.92,-1.66,0.98,33.365
-10.3,-1.86,0.35,33.435
-11.11,-1.4,-0.42,33.522
-11.11,-1.4,-0.42,33.614
-11.11,-1.4,-0.42,33.705
-11.11,-1.4,-0.42,33.766
-11.11,-1.4,-0.42,33.852
-11.11,-1.4,-0.42,33.944
-11.11,-1.4,-0.42,34.008
-11.11,-1.4,-0.42,34.101
-11.56,-0.59,-0.67,34.189
-11.01,0.31,0.04,34.25
-10.75,0.65,0.69,34.339
-10.75,0.65,0.69,34.429
-10.75,0.65,0.69,34.519
-10.75,0.65,0.69,34.582
-10.75,0.65,0.69,34.668
-10.75,0.65,0.69,34.734
-10.75,0.65,0.69,34.824
-10.75,0.65,0.69,34.891
-10.34,0.42,1.03,34.951
-10.6,0.01,0.35,35.046
-10.7,-0.08,-0.59,35.141
-10.7,-0.08,-0.59,35.231
-10.7,-0.08,-0.59,35.326
-10.7,-0.08,-0.59,35.425
-10.7,-0.08,-0.59,35.486
-10.7,-0.08,-0.59,35.551
-10.7,-0.08,-0.59,35.611
-10.7,-0.08,-0.59,35.701
-10.64,-0.26,-0.21,35.788
-10.54,-0.12,0.25,35.88
-11.39,-0.04,1.02,35.971
-11.39,-0.04,1.02,36.037
-11.39,-0.04,1.02,36.125
-11.39,-0.04,1.02,36.226
-11.39,-0.04,1.02,36.29
-11.39,-0.04,1.02,36.356
-11.39,-0.04,1.02,36.443
-11.39,-0.04,1.02,36.535
-11.82,0.31,0.8,36.6
-12.53,0.16,0.42,36.687
-12.54,0.14,-0.63,36.783
-12.54,0.14,-0.63,36.849
-12.54,0.14,-0.63,36.941
-12.54,0.14,-0.63,37
-12.54,0.14,-0.63,37.09
-12.54,0.14,-0.63,37.185
-12.54,0.14,-0.63,37.244
-12.54,0.14,-0.63,37.337
-12.92,0.03,-0.43,37.43
-12.68,0.78,0.2,37.528
-13.1,-0.78,2.03,37.593
-13.1,-0.78,2.03,37.685
-13.1,-0.78,2.03,37.745
-13.1,-0.78,2.03,37.838
-13.1,-0.78,2.03,37.899
-13.1,-0.78,2.03,37.993
-13.1,-0.78,2.03,38.056
-13.1,-0.78,2.03,38.152
-12.94,-0.73,1.66,38.211
-13.77,-1.46,0.92,38.303
-13.55,-0.47,-0.69,38.395
-13.55,-0.47,-0.69,38.488
-13.55,-0.47,-0.69,38.551
-13.55,-0.47,-0.69,38.642
-13.55,-0.47,-0.69,38.706
-13.55,-0.47,-0.69,38.801
-13.55,-0.47,-0.69,38.866
-13.55,-0.47,-0.69,38.958
-13.89,-0.35,-0.25,39.056
-13.56,-0.38,0.75,39.121
-13,-1.11,1.95,39.182
-13,-1.11,1.95,39.274
-13,-1.11,1.95,39.337
-13,-1.11,1.95,39.424
-13,-1.11,1.95,39.524
-13,-1.11,1.95,39.59
-13,-1.11,1.95,39.654
-13,-1.11,1.95,39.75
-12.51,-1.18,1.02,39.845
-12.91,-2.25,0.26,39.946
-12.03,-2.42,-0.89,40.042
-12.03,-2.42,-0.89,40.105
-12.03,-2.42,-0.89,40.166
-12.03,-2.42,-0.89,40.261
-12.03,-2.42,-0.89,40.335
-12.03,-2.42,-0.89,40.397
-12.03,-2.42,-0.89,40.489
-12.03,-2.42,-0.89,40.587
-13.6,-4.45,0.81,40.679
-11.4,-4.69,0.9,40.744
-11.91,-3.94,1.18,40.842
-11.91,-3.94,1.18,40.911
-11.91,-3.94,1.18,40.973
-11.91,-3.94,1.18,41.034
-11.91,-3.94,1.18,41.134
-11.91,-3.94,1.18,41.229
-11.91,-3.94,1.18,41.302
-11.91,-3.94,1.18,41.395
-9.51,-2.65,0.46,41.495
-11.13,-2.24,0.82,41.559
-11.05,-1.69,0.5,41.625
-11.05,-1.69,0.5,41.715
-11.05,-1.69,0.5,41.815
-11.05,-1.69,0.5,41.904
-11.05,-1.69,0.5,41.968
-11.05,-1.69,0.5,42.032
-11.05,-1.69,0.5,42.125
-11.05,-1.69,0.5,42.224
-11.95,-1.7,0.34,42.295
-11.01,-1.2,0.21,42.391
-10.88,-0.97,0,42.458
-10.88,-0.97,0,42.523
-10.88,-0.97,0,42.621
-10.88,-0.97,0,42.687
-10.88,-0.97,0,42.752
-10.88,-0.97,0,42.847
-10.88,-0.97,0,42.919
-10.88,-0.97,0,43.015
-10.23,-0.14,-0.12,43.08
-10.06,-0.42,0.46,43.144
-10.63,-0.34,1.05,43.239
-10.63,-0.34,1.05,43.331
-10.63,-0.34,1.05,43.403
-10.63,-0.34,1.05,43.501
-10.63,-0.34,1.05,43.594
-10.63,-0.34,1.05,43.666
-10.63,-0.34,1.05,43.734
-10.63,-0.34,1.05,43.831
-11.3,-0.85,1.03,43.928
-12.45,0,0.05,44.001
-12.75,-0.72,-0.55,44.068
-12.75,-0.72,-0.55,44.135
-12.75,-0.72,-0.55,44.196
-12.75,-0.72,-0.55,44.296
-12.75,-0.72,-0.55,44.395
-12.75,-0.72,-0.55,44.469
-12.75,-0.72,-0.55,44.536
-12.75,-0.72,-0.55,44.598
-13.74,-1.37,0.24,44.697
-12.79,-3.2,0.61,44.792
-11.94,-3.61,1.18,44.887
-11.94,-3.61,1.18,44.948
-11.94,-3.61,1.18,45.011
-11.94,-3.61,1.18,45.108
-11.94,-3.61,1.18,45.208
-11.94,-3.61,1.18,45.267
-11.94,-3.61,1.18,45.368
-11.94,-3.61,1.18,45.439
-11.15,-3.39,0.39,45.501
-11.11,-2.55,-0.2,45.597
-10.8,-1.75,0.13,45.675
-10.8,-1.75,0.13,45.772
-10.8,-1.75,0.13,45.84
-10.8,-1.75,0.13,45.937
-10.8,-1.75,0.13,46.008
-10.8,-1.75,0.13,46.073
-10.8,-1.75,0.13,46.172
-10.8,-1.75,0.13,46.24
-10.09,-1.01,-0.71,46.305
-10.29,0.04,-1.02,46.403
-10.96,0.71,-1.6,46.464
-10.96,0.71,-1.6,46.559
-10.96,0.71,-1.6,46.654
-10.96,0.71,-1.6,46.741
-10.96,0.71,-1.6,46.838
-10.96,0.71,-1.6,46.908
-10.96,0.71,-1.6,47.007
-10.96,0.71,-1.6,47.077
-10.97,0.77,-0.75,47.144
-11.85,0.47,-0.08,47.239
-11.87,0.69,-0.05,47.308
-11.87,0.69,-0.05,47.372
-11.87,0.69,-0.05,47.471
-11.87,0.69,-0.05,47.571
-11.87,0.69,-0.05,47.64
-11.87,0.69,-0.05,47.733
-11.87,0.69,-0.05,47.799
-11.87,0.69,-0.05,47.866
-12.41,0.08,-0.38,47.968
-12.21,0.13,-1.11,48.037
-12.87,-2.09,-1.06,48.136
-12.87,-2.09,-1.06,48.205
-12.87,-2.09,-1.06,48.269
-12.87,-2.09,-1.06,48.336
-12.87,-2.09,-1.06,48.435
-12.87,-2.09,-1.06,48.532
-12.87,-2.09,-1.06,48.639
-12.87,-2.09,-1.06,48.706
-14.41,-2.88,0.37,48.773
-13.04,-4.34,1.54,48.842
-12.71,-3.75,1.79,48.942
-12.71,-3.75,1.79,49.012
-12.71,-3.75,1.79,49.082
-12.71,-3.75,1.79,49.147
-12.71,-3.75,1.79,49.247
-12.71,-3.75,1.79,49.351
-12.71,-3.75,1.79,49.419
-12.71,-3.75,1.79,49.482
-10.71,-2.64,1.15,49.55
-11.68,-2.01,1.02,49.65
-10.68,-1.74,0.58,49.753
