run_4_1,NAME:,,
08/06/2023 10:38,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
5.4,-8.08,-1.66,18.099
5.4,-8.08,-1.66,18.176
5.4,-8.08,-1.66,18.294
5.4,-8.08,-1.66,18.371
5.4,-8.08,-1.66,18.446
5.4,-8.08,-1.66,18.526
5.4,-8.08,-1.66,18.605
2.79,-10.7,2.35,18.68
1.1,-4.11,1.16,18.758
1.35,-4.8,0.58,18.832
1.35,-4.8,0.58,18.908
1.35,-4.8,0.58,19.034
1.35,-4.8,0.58,19.112
1.35,-4.8,0.58,19.186
1.35,-4.8,0.58,19.26
1.35,-4.8,0.58,19.34
1.35,-4.8,0.58,19.418
-1.69,2.33,-0.43,19.493
-0.76,1.16,-0.86,19.572
0.59,-4.72,-4.35,19.648
0.59,-4.72,-4.35,19.728
0.59,-4.72,-4.35,19.805
0.59,-4.72,-4.35,19.881
0.59,-4.72,-4.35,20.005
0.59,-4.72,-4.35,20.013
0.59,-4.72,-4.35,20.13
0.59,-4.72,-4.35,20.207
0.85,-5.73,-4.84,20.284
2.92,-7.48,-7.22,20.364
0.72,-8.79,-8.54,20.44
0.72,-8.79,-8.54,20.52
0.72,-8.79,-8.54,20.596
0.72,-8.79,-8.54,20.675
0.72,-8.79,-8.54,20.797
0.72,-8.79,-8.54,20.874
0.72,-8.79,-8.54,20.95
0.72,-8.79,-8.54,21.028
2.96,-14.17,-10.57,21.108
2.98,-19.27,-7.18,21.186
5.32,-12.91,-2.77,21.266
5.32,-12.91,-2.77,21.347
5.32,-12.91,-2.77,21.422
5.32,-12.91,-2.77,21.504
5.32,-12.91,-2.77,21.588
5.32,-12.91,-2.77,21.666
5.32,-12.91,-2.77,21.743
5.32,-12.91,-2.77,21.818
6.81,-13.64,-2.76,21.893
5.11,-8.09,-1.91,22.016
5.5,-7.45,-0.04,22.097
5.5,-7.45,-0.04,22.171
5.5,-7.45,-0.04,22.246
5.5,-7.45,-0.04,22.329
5.5,-7.45,-0.04,22.409
5.5,-7.45,-0.04,22.486
5.5,-7.45,-0.04,22.561
5.5,-7.45,-0.04,22.639
3.6,-2.84,2.05,22.714
1.7,-2.82,0.14,22.789
0.12,-3.5,-0.9,22.906
0.12,-3.5,-0.9,22.915
0.12,-3.5,-0.9,23.038
0.12,-3.5,-0.9,23.163
0.12,-3.5,-0.9,23.174
0.12,-3.5,-0.9,23.295
0.12,-3.5,-0.9,23.371
0.12,-3.5,-0.9,23.452
-1.78,-2.11,0.04,23.53
-0.64,0.47,0.55,23.617
1.82,-4.98,-2.13,23.694
1.82,-4.98,-2.13,23.77
1.82,-4.98,-2.13,23.849
1.82,-4.98,-2.13,23.929
1.82,-4.98,-2.13,24.009
1.82,-4.98,-2.13,24.087
1.82,-4.98,-2.13,24.171
1.82,-4.98,-2.13,24.291
2.21,-3.77,-4.07,24.371
8.63,-4.09,2.3,24.449
8.49,-4.97,5.57,24.529
8.49,-4.97,5.57,24.607
8.49,-4.97,5.57,24.687
8.49,-4.97,5.57,24.771
8.49,-4.97,5.57,24.852
8.49,-4.97,5.57,24.927
8.49,-4.97,5.57,25.01
8.49,-4.97,5.57,25.089
15.35,-9.17,8.54,25.164
10.28,-15.76,1.69,25.246
7.27,-7.64,1.12,25.328
7.27,-7.64,1.12,25.411
7.27,-7.64,1.12,25.492
7.27,-7.64,1.12,25.572
7.27,-7.64,1.12,25.651
7.27,-7.64,1.12,25.729
7.27,-7.64,1.12,25.806
7.27,-7.64,1.12,25.891
1.88,-7.35,-1.27,25.971
-0.2,-0.54,0,26.05
3.16,-1.69,-1.7,26.128
3.16,-1.69,-1.7,26.207
3.16,-1.69,-1.7,26.288
3.16,-1.69,-1.7,26.301
3.16,-1.69,-1.7,26.431
3.16,-1.69,-1.7,26.553
3.16,-1.69,-1.7,26.636
3.16,-1.69,-1.7,26.717
2.26,1.56,-0.8,26.796
3.05,1.07,-2.98,26.881
3.1,-2.16,-2.71,26.96
3.1,-2.16,-2.71,27.042
3.1,-2.16,-2.71,27.128
3.1,-2.16,-2.71,27.21
3.1,-2.16,-2.71,27.292
3.1,-2.16,-2.71,27.367
3.1,-2.16,-2.71,27.446
3.1,-2.16,-2.71,27.525
2.38,-1.03,-2.86,27.608
2.25,-2.01,-2.28,27.691
0.65,-4.85,-1.6,27.771
0.65,-4.85,-1.6,27.852
0.65,-4.85,-1.6,27.932
0.65,-4.85,-1.6,28.012
0.65,-4.85,-1.6,28.091
0.65,-4.85,-1.6,28.164
0.65,-4.85,-1.6,28.237
0.65,-4.85,-1.6,28.319
0.8,-5.37,-2.16,28.402
3.79,-9.69,1.03,28.488
2.29,-7.77,3.11,28.569
2.29,-7.77,3.11,28.654
