NAME:,run_3_1.csv,,
EXPERIMENT TIME:,07/06/2023 16:47,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,145,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
14.45,0,-20.01,9.89
14.504,4.43,-15.53,3.96
14.659,-1.1,2.55,0.82
14.717,-2.86,-1.96,5.65
14.765,4.35,-20.01,-11.38
14.811,-0.55,-11.18,2.98
14.857,-0.9,-14.67,-0.98
14.914,0.59,-10.4,2.63
14.96,5.96,-14.75,3.26
15.013,3.3,-3.3,0.86
15.064,-1.26,-1.22,3.61
15.124,-0.9,-0.82,-0.55
15.174,-3.8,-0.2,7.96
15.262,-1.1,-20.01,11.26
15.275,6.43,-14.87,-1.18
15.316,-1.33,-16,-3.92
15.388,-1.29,-5.81,-1.65
15.439,-0.98,-4.86,-3.22
15.494,-2.2,0.27,4.08
15.525,0.2,-3.53,7.45
15.581,5.49,-13.38,-2.28
15.631,3.8,-9.1,2.63
15.685,2.16,-20.01,-1.69
15.738,3.73,-12.67,1.73
15.79,2.16,-7.73,5.3
15.827,3.06,-4.47,1.92
16.002,-4.28,-20.01,8.24
16.053,3.88,-17.42,2.47
16.083,3.33,-17.53,-0.55
16.144,-3.84,-9.77,-3.69
16.198,-2.35,-9.77,-6.67
16.248,-1.41,-0.71,-0.86
16.288,-2.67,-1.06,0.78
16.341,-12.75,-4.86,3.65
16.388,2,-9.61,4.9
16.445,0.16,-8.87,1.06
16.497,2.35,-18.04,2.9
16.571,4.82,-10.28,3.73
16.599,1.61,-7.45,0.43
16.644,0.08,0.31,2.79
16.709,-1.57,-0.47,1.84
16.762,-2.71,-1.33,8.32
16.813,1.57,-20.01,8.04
16.864,8.47,-16.4,2.75
16.91,-1.84,-14.59,-1.45
16.95,-4.12,-7.34,-3.84
17.219,-0.59,-3.49,-3.84
17.228,-0.98,-1.14,-0.35
17.234,4.39,-18.75,4
17.244,2.82,-20.01,7.96
17.25,0.55,-17.38,5.02
17.261,-1.53,-17.85,-1.77
17.326,3.1,-13.73,0.24
17.374,4.71,-12.12,2.71
17.406,2,-6.51,-0.59
17.47,-2.51,-2.12,4
17.53,-0.98,0.27,0.51
17.58,-3.06,-9.06,5.73
17.632,-4.75,-18.99,10.08
17.683,9.41,-16.91,0.67
17.838,-0.82,0.39,-4.04
17.893,-1.96,-1.18,1.33
17.94,1.45,-3.8,4.79
17.989,10.71,-13.26,1.53
18.017,3.57,-12.83,2.98
18.074,-1.41,-19.38,-1.45
18.126,4.67,-15.02,-0.9
18.181,4.47,-8.12,-0.04
18.228,3.73,-4,-2.04
18.274,-4.39,-1.92,4.63
18.334,-0.75,-0.78,0.78
18.378,0.04,-14.59,2.2
18.446,-3.73,-19.97,9.26
18.475,6.24,-15.14,1.45
18.531,-2.94,-10.87,-2.31
18.592,-2.98,-5.81,-5.26
18.644,1.22,0.16,-3.88
18.708,-3.96,-1.92,2.12
18.754,1.33,-5.53,8.59
18.781,1.57,-7.3,-5.45
18.842,2.47,-11.73,-0.9
18.891,5.26,-15.14,-5.92
18.946,1.06,-19.3,7.96
18.992,5.1,-5.65,-0.31
19.049,0.08,-3.14,1.37
19.14,-2.2,-0.98,2.51
