NAME:,run_3_3.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 12:09,,,,,,,,,,,,,
ACTIVITY TYPE:,Running,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,70,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
43529,-18.82877,-1.059118,-2.039783,,,,,,,,,,,
43610,-3.883434,4.628739,-4.15802,,,,,,,,,,,
43691,0.902212,4.589512,-5.021005,,,,,,,,,,,
43772,-11.297261,12.748646,-3.020448,,,,,,,,,,,
43853,-18.946449,1.529837,1.333704,,,,,,,,,,,
43934,-12.081794,-2.353596,0.902212,,,,,,,,,,,
44015,7.374601,0.588399,-2.941995,,,,,,,,,,,
44096,-9.414385,-0.274586,-5.609404,,,,,,,,,,,
44177,-17.651972,-20.005568,9.924331,,,,,,,,,,,
44258,-16.239815,7.570734,-8.159133,,,,,,,,,,,
44339,-1.451384,3.80498,-6.629296,,,,,,,,,,,
44420,2.706636,1.490611,-3.295035,,,,,,,,,,,
44501,-13.690084,9.414385,-4.236473,,,,,,,,,,,
44582,-20.005568,-4.511059,0.862985,,,,,,,,,,,
44663,-9.885103,-3.334261,3.648074,,,,,,,,,,,
44744,4.942552,0.745305,-1.569064,,,,,,,,,,,
44825,-8.159133,16.357494,-4.471833,,,,,,,,,,,
44906,-17.887331,-13.886217,6.00167,,,,,,,,,,,
44987,-12.434833,2.353596,-0.23536,,,,,,,,,,,
45068,2.235916,2.07901,-5.060232,,,,,,,,,,,
45149,-1.137571,3.844207,-5.374045,,,,,,,,,,,
45230,-6.864655,17.455837,1.569064,,,,,,,,,,,
45311,-20.005568,-0.23536,-4.785645,,,,,,,,,,,
45392,-8.904439,-0.039227,-0.196133,,,,,,,,,,,
45473,7.178468,-2.981222,-1.137571,,,,,,,,,,,
45554,-5.530951,1.490611,-3.648074,,,,,,,,,,,
45635,-12.2387,-15.847548,3.80498,,,,,,,,,,,
45716,-15.416055,1.098345,-6.943109,,,,,,,,,,,
45797,-2.510503,3.177355,-4.824872,,,,,,,,,,,
45878,-1.137571,-0.549172,-4.079566,,,,,,,,,,,
45959,-18.82877,11.807208,1.059118,,,,,,,,,,,
46040,-20.005568,1.725971,-0.078453,,,,,,,,,,,
46121,-7.531507,-8.43372,0.549172,,,,,,,,,,,
46202,9.257479,3.530394,-4.236473,,,,,,,,,,,
46283,-20.005568,0.706079,14.592296,,,,,,,,,,,
46364,-18.71109,-20.005568,16.200586,,,,,,,,,,,
46445,-13.768538,10.591183,-4.628739,,,,,,,,,,,
46526,1.647517,2.706636,-0.980665,,,,,,,,,,,
46607,-0.902212,0.588399,-4.079566,,,,,,,,,,,
46688,-20.005568,15.180696,0.627626,,,,,,,,,,,
46769,-19.927114,-1.804424,1.333704,,,,,,,,,,,
46850,-3.451941,-1.96133,9.688971,,,,,,,,,,,
46931,11.689528,-0.11768,-2.902768,,,,,,,,,,,
47012,-20.005568,8.904439,-17.76965,,,,,,,,,,,
47093,-8.66908,-15.337602,19.927114,,,,,,,,,,,
47174,-17.102798,8.825986,-7.492281,,,,,,,,,,,
47255,-1.490611,7.531507,-3.255808,,,,,,,,,,,
