NAME:,walk_4_1.csv,,,,,,,,,,,,,
EXPERIMENT TIME:,06/06/2023 11:54,,,,,,,,,,,,,
ACTIVITY TYPE:,Walking,,,,,,,,,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,,,,,,,,,,,
291987,-5.491724,0,0.274586,,,,,,,,,,,
292068,-7.139242,0.039227,3.216581,,,,,,,,,,,
292149,-8.198359,-0.862985,0.706079,,,,,,,,,,,
292230,-13.376271,-0.274586,3.569621,,,,,,,,,,,
292311,-10.63041,-4.628739,1.372931,,,,,,,,,,,
292392,-8.629852,-0.706079,-0.666852,,,,,,,,,,,
292473,-9.924331,-3.569621,0.274586,,,,,,,,,,,
292554,-7.374601,-1.490611,0.353039,,,,,,,,,,,
292635,-9.963557,-0.470719,-0.666852,,,,,,,,,,,
292716,-9.845878,-0.784532,1.255251,,,,,,,,,,,
292797,-11.611073,-0.196133,2.118237,,,,,,,,,,,
292878,-10.198917,-3.765754,-2.667409,,,,,,,,,,,
292959,-12.513286,-6.00167,2.667409,,,,,,,,,,,
293040,-9.963557,0.666852,-0.706079,,,,,,,,,,,
293121,-6.197803,-0.11768,0.784532,,,,,,,,,,,
293769,-9.022119,-1.176798,0.706079,,,,,,,,,,,
293850,-9.885103,-0.666852,0.23536,,,,,,,,,,,
293931,-12.434833,-0.196133,-1.255251,,,,,,,,,,,
294012,-14.749203,-2.471276,-0.509946,,,,,,,,,,,
294093,-9.728197,-5.805537,0.039227,,,,,,,,,,,
294174,-10.591183,-1.529837,0,,,,,,,,,,,
294255,-8.08068,-0.039227,0.392266,,,,,,,,,,,
294336,-5.217138,-0.902212,2.31437,,,,,,,,,,,
294417,-6.629296,1.255251,1.333704,,,,,,,,,,,
294498,-20.005568,-5.413271,4.864099,,,,,,,,,,,
294579,-12.2387,2.275143,2.510503,,,,,,,,,,,
294660,-8.551399,-4.354153,0.11768,,,,,,,,,,,
294741,-8.159133,-0.196133,0.941438,,,,,,,,,,,
294822,-8.551399,-1.882877,-0.470719,,,,,,,,,,,
294903,-7.806094,-0.392266,0.23536,,,,,,,,,,,
294984,-10.04201,-0.196133,0,,,,,,,,,,,
295065,-12.081794,-1.372931,-0.23536,,,,,,,,,,,
295146,-15.416055,-2.392823,0.509946,,,,,,,,,,,
295227,-9.728197,-5.413271,-0.509946,,,,,,,,,,,
295308,-11.258035,-3.059675,0.823759,,,,,,,,,,,
295389,-9.296705,-0.078453,0.039227,,,,,,,,,,,
295470,-6.393936,-0.353039,1.255251,,,,,,,,,,,
295551,-5.923217,0.784532,2.824315,,,,,,,,,,,
295632,-7.727641,-0.706079,-1.922104,,,,,,,,,,,
295713,-12.12102,-1.412158,3.961887,,,,,,,,,,,
295794,-14.121577,-4.903325,0.980665,,,,,,,,,,,
295875,-8.31604,-0.862985,-0.745305,,,,,,,,,,,
295956,-8.590626,-3.216581,0.11768,,,,,,,,,,,
296037,-7.688414,-1.725971,0.392266,,,,,,,,,,,
296118,-9.924331,-0.666852,-0.039227,,,,,,,,,,,
296199,-9.688971,-0.823759,1.686744,,,,,,,,,,,
296280,-12.47406,0.392266,2.31437,,,,,,,,,,,
296361,-9.688971,-3.883434,-1.96133,,,,,,,,,,,
296442,-12.47406,-4.981779,1.686744,,,,,,,,,,,
296523,-10.04201,0.313813,0.196133,,,,,,,,,,,
296604,-5.609404,-0.431493,0.823759,,,,,,,,,,,
296685,-6.158576,0.039227,2.549729,,,,,,,,,,,
296766,-8.590626,1.333704,-0.823759,,,,,,,,,,,
296847,-11.454168,-1.333704,4.079566,,,,,,,,,,,
296928,-10.983448,-2.745862,-0.156906,,,,,,,,,,,
297009,-8.904439,-0.509946,-0.509946,,,,,,,,,,,
297090,-10.15969,-3.334261,0.353039,,,,,,,,,,,
