NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,07/06/2023 16:15,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,90,,
 ,,,
Time [sec],ACC X,ACC Y,ACC Z
16.573,3.02,-8.87,-0.04
16.619,5.69,-12.59,-0.67
16.679,0.9,-10.12,-1.1
16.733,0.31,-8.59,-2.24
16.78,1.1,-8.71,-2.9
16.832,0.9,-6.24,-3.1
16.863,0.63,-4.82,-3.1
16.916,0.71,-8,-3.49
17.202,0.71,-11.34,-4.35
17.22,1.02,-10.28,-6.2
17.225,1.1,-9.45,-6.24
17.268,1.37,-11.06,0.16
17.344,1.57,-10.63,0.98
17.382,0.2,-8.55,-0.08
17.425,0.9,-9.85,0.04
17.485,-0.24,-9.18,-0.31
17.536,-1.18,-8.71,-0.71
17.588,-0.51,-10.55,-0.51
17.738,-1.84,-11.26,-0.63
17.781,0.16,-12.94,0.2
17.84,3.65,-11.77,2.47
17.893,2.9,-11.85,0.63
17.945,5.57,-13.42,-0.27
18.001,0.86,-10.47,-3.33
18.049,-0.27,-7.92,-1.26
18.094,1.02,-8.08,-2.86
18.148,0.67,-6.35,-2.59
18.203,0.98,-5.92,-2.9
18.364,1.37,-10.71,-4.12
18.413,1.37,-11.53,-7.61
18.456,3.14,-13.18,-6.51
18.499,6.79,-12.08,3.02
18.544,2.43,-6.08,0.67
18.601,0.51,-6.59,-0.04
18.668,1.69,-13.38,0.98
18.712,0.51,-7.61,-0.08
18.768,1.1,-9.57,0.75
18.825,0.82,-9.57,0
18.87,-0.9,-9.61,-0.59
18.912,-0.98,-10,-0.31
18.956,0.24,-9.81,-1.1
19.027,-1.96,-9.61,-0.2
19.073,-1.18,-11.96,0.16
19.127,2.59,-13.1,-1.29
19.176,2.98,-12.87,2.98
19.21,4.55,-12.2,-0.63
19.259,3.65,-11.96,-0.47
19.311,0.35,-8.63,-1.49
19.365,1.29,-7.14,-2.39
19.415,1.22,-7.34,-2.55
19.467,0.47,-5.41,-3.77
19.539,0.55,-5.61,-4.12
19.568,0.39,-10.04,-3.8
19.643,0.67,-13.14,-4.31
19.674,2,-8.47,-7.73
19.742,3.69,-18.95,-1.41
19.783,4.47,-7.14,-1.14
19.818,0.98,-8.2,-1.22
19.89,1.26,-12,1.06
19.938,2.43,-9.02,0.24
19.98,0.35,-8.59,0.04
20.045,0.9,-9.73,0.16
20.094,0.43,-9.3,-0.24
20.13,-1.69,-9.65,-0.59
20.185,-1.26,-10.2,-0.31
20.287,-0.75,-9.53,-1.29
20.299,-2,-10.08,-0.39
20.342,-0.35,-11.69,0.2
20.389,2.59,-14,0.08
20.442,2.43,-12.43,3.18
20.494,5.84,-12,-0.27
20.55,3.37,-11.1,0
20.604,0.82,-8.16,-1.29
20.65,2.04,-7.18,-2.28
20.704,1.45,-7.37,-2.67
20.763,0.27,-5.84,-3.57
20.903,0.82,-11.34,-3.88
20.944,1.33,-12.4,-8.59
21.003,2.86,-9.26,-5.02
21.062,4.63,-9.81,2.75
21.09,2.35,-4.98,-0.27
21.162,0.16,-10.32,-0.71
21.211,2.39,-12.47,1.02
21.263,1.18,-9.57,0.16
21.315,0.71,-8.24,-0.39
21.368,-0.39,-10.04,-0.82
21.492,-2.08,-9.02,-1.18
21.506,-1.65,-10.04,-1.02
21.529,-0.24,-10,-0.9
21.549,-2.75,-10.51,-0.39
21.628,2.2,-13.73,0.59
21.663,4.94,-12.51,1.88
21.72,3.69,-13.26,-0.35
21.776,3.22,-11.92,-1.49
21.826,0.78,-10.16,-2.31
21.876,0.78,-7.34,-0.82
21.931,1.1,-6.67,-2.9
21.963,1.18,-5.81,-3.02
22.015,0.55,-5.69,-3.88
22.065,0.67,-8.47,-3.8
22.216,3.88,-10.51,-6.08
22.489,4.51,-11.89,3.53
22.5,1.41,-7.37,-0.27
22.521,-0.12,-9.41,0.16
22.585,0.04,-8.98,0.12
22.633,-1.41,-9.1,-0.31
22.69,-0.78,-9.41,-0.51
22.837,-0.24,-12.04,0.55
22.889,4.28,-12.67,1.77
22.945,3.84,-11.77,1.26
23.005,5.61,-14.91,1.18
23.056,1.29,-10.47,-2.98
23.081,1.69,-8,-1.14
23.139,1.77,-6.67,-2.2
23.191,0.47,-6.24,-1.65
23.242,0.2,-5.14,-3.61
23.298,-0.08,-7.02,-4.67
23.351,0.51,-12.71,-2.82
23.408,2.67,-14.12,-7.02
23.471,2.47,-10.94,-6.83
23.502,2.2,-13.14,1.69
23.544,2.51,-3.92,-0.47
23.599,0.31,-10.32,-0.16
23.651,2,-11.18,-0.27
23.703,1.8,-8.43,-0.35
23.754,-0.59,-9.02,-0.24
23.813,0.55,-9.41,0.04
23.85,-0.08,-8.75,-0.2
23.911,-0.59,-9.22,-0.39
23.961,-0.2,-10.51,-0.55
24.122,4.59,-14.08,2.2
24.174,2.98,-11.85,1.73
24.205,5.61,-14.36,0.94
24.281,0.63,-10.43,-3.14
24.327,1.45,-8.32,-0.71
24.38,1.37,-6.47,-3.02
24.433,0.16,-5.06,-2.75
24.483,0.24,-3.88,-3.69
