Time [sec],ACC X,ACC Y,ACC Z
15.671,2.51,-8.98,-5.53
15.721,5.06,-14.83,2.04
15.767,3.02,-7.22,0.75
15.819,0.55,-6.59,0.31
15.872,2.04,-11.57,0.59
15.976,1.26,-7.96,0.94
15.986,0.75,-8.83,0.16
16.032,0.82,-9.02,0.12
16.085,-1.06,-9.26,0
16.136,-0.35,-9.92,-0.16
16.204,-0.75,-10.63,-0.43
16.234,-2.94,-10.55,-1.06
16.289,1.26,-13.81,1.29
16.337,4,-12.63,3.37
16.39,3.88,-12.28,0.51
16.439,6.83,-12.87,0.16
16.494,-0.39,-9.38,-2.12
16.55,1.61,-6.75,-2.04
16.67,1.77,-7.65,-3.22
16.68,0.16,-4.75,-3.73
16.696,0.47,-4.04,-3.26
16.753,1.61,-10.32,-3.88
16.798,3.02,-10.32,-5.02
16.854,3.3,-9.77,-7.53
16.9,5.41,-20.01,1.06
16.951,2.71,-5.33,-1.57
17.006,2.12,-4.67,-0.47
17.056,2.71,-12.55,1.73
17.109,2.31,-8.67,-0.12
17.162,-0.2,-9.1,-0.08
17.206,1.41,-9.49,0.35
17.263,1.53,-9.06,-0.16
17.303,-0.9,-9.1,-0.39
17.347,-0.27,-10,-0.47
17.401,-0.82,-10.08,-0.78
17.455,-2,-9.81,-0.16
17.503,1.69,-13.14,1.29
17.554,4.31,-15.42,2.71
17.61,3.45,-9.45,0.47
17.661,5.41,-12.71,-0.47
17.711,-0.24,-9.89,-2.39
17.77,1.29,-6.63,-1.37
17.825,2.51,-7.85,-3.18
17.981,1.33,-7.92,-3.61
18.026,2.43,-13.57,-3.45
18.084,1.02,-11.26,-8.12
18.112,1.33,-8.08,-7.85
18.407,4.82,-17.34,3.73
18.417,3.14,-11.57,0.47
18.47,0.82,-9.73,-0.59
18.547,-0.75,-7.34,-1.1
18.574,-1.18,-10.67,0.08
18.635,0.27,-10.71,-1.06
18.684,-2.51,-9.96,-0.82
18.736,-0.59,-11.61,0.31
18.777,4.79,-14.47,1.14
18.833,3.49,-9.45,1.88
18.889,5.77,-12.43,0.39
18.942,1.69,-12.59,-1.26
18.986,0.86,-8.16,-1.1
19.037,2.35,-6.83,-2.55
19.084,1.33,-6.83,-2.63
19.155,1.1,-5.37,-2.79
19.219,1.18,-6.2,-3.57
19.245,1.88,-10.59,-4.04
19.298,1.88,-11.49,-4.47
19.357,1.22,-9.38,-7.57
