Time [sec],N
31.816,11.39
31.917,12.35
32.019,14.68
32.119,15.39
32.22,8.23
32.321,8.95
32.422,9.53
32.523,11.1
32.624,9.93
32.725,6.81
32.826,6.51
32.927,10.36
33.029,8.83
33.129,10.47
33.23,10.52
33.331,8.64
33.432,12.22
33.534,9.13
33.634,8.48
33.735,8.24
33.836,13.5
33.937,15.23
34.039,9.85
34.139,8.64
34.24,8.53
34.341,8.88
34.442,10.55
34.543,11.1
34.644,8.09
34.745,10.59
34.846,10.35
34.947,8.9
35.049,8.57
35.149,10.79
35.25,10.63
35.351,16.7
35.452,14.56
35.553,9.4
35.654,9.8
35.755,9.25
35.856,11.47
35.957,11.42
36.058,7.86
36.159,13.21
36.26,8.26
36.361,9.73
36.462,9.83
36.563,12.71
36.664,15.73
36.765,7.93
36.866,9.95
36.967,8.45
37.068,9.78
37.169,8.82
37.27,10.7
37.371,10.7
37.472,13.03
37.573,17.65
37.674,11.41
37.775,8.87
37.876,9.17
37.977,11.07
38.078,11.68
38.179,10.02
38.28,10.56
38.381,11.14
38.482,10.46
38.583,10.46
38.684,11.46
38.785,10.82
38.886,10.86
