Time [sec],ACC X,ACC Y,ACC Z
14.73,0.31,-11.41,-5.02
14.789,-0.35,-0.47,-1.26
14.841,-1.8,0.35,3.96
14.898,-0.35,-20.08,-15.34
14.928,4.43,-12.04,-0.39
14.983,0.12,-15.34,-2.51
15.043,3.02,-15.73,3.77
15.077,4.04,-11.77,3.02
15.13,2.59,-9.3,0.59
15.185,1.29,-3.69,3.84
15.241,2.9,-0.78,4.51
15.329,0.55,-8.24,-1.1
15.338,1.14,-18.99,4.86
15.389,5.26,-14.71,-0.86
15.461,-0.43,-11.34,-1.73
15.509,-1.26,-9.96,-4.79
15.541,-0.9,-4.12,-1.22
15.597,-0.47,-1.73,-2.47
15.646,-11.61,-17.26,4.2
15.71,1.77,-7.88,2.98
15.758,-0.94,-11.85,-0.9
15.808,-4.12,-11.45,4.24
15.861,2.55,-12.2,1.84
15.96,0.24,-9.02,1.88
15.972,-0.04,-4.39,3.53
16,2.82,-1.18,-0.63
16.051,0.78,-12.16,-2.31
16.123,-2.51,-10.47,2.16
16.156,3.69,-15.06,2.04
16.207,0.55,-14,-0.67
16.253,0.94,-8.2,-2.24
16.306,-0.2,-10.43,-2.94
16.371,-3.41,-4.24,-0.78
16.42,-0.35,-6.47,0.71
16.453,-5.49,-15.1,4.2
16.613,0.24,-14.28,0.12
16.665,1.18,-12.36,-0.39
16.712,3.61,-11.1,-1.8
16.785,1.96,-5.69,2.75
16.814,-0.24,-1.22,2.82
16.865,-2.08,-1.73,4.28
16.915,-0.43,-16.12,5.96
16.962,-1.96,-17.22,2.31
17.02,0.24,-15.65,0.82
17.076,-2.55,-11.41,0.71
17.126,-4.67,-8,-4.04
17.238,0.35,-2.04,-0.27
17.251,-10.16,-5.1,5.61
17.294,2.63,-7.3,2.63
17.343,-2.04,-14.08,2.28
17.371,-1.73,-12.71,-1.26
17.447,3.14,-15.26,4.67
17.499,4.9,-8.47,1.29
17.546,-1.18,-5.73,1.1
17.598,0.71,-0.12,2.04
17.642,0.43,2.24,9.81
17.704,-1.61,-17.85,6.35
17.799,0.24,-16.67,3.37
17.811,2.86,-17.38,-1.8
17.859,-2.43,-9.49,-1.57
17.887,-2.2,-8.9,-4.28
17.934,-0.75,-1.22,-1.49
17.99,-0.55,1.77,2.86
18.036,-10,-17.3,0.2
18.108,-1.77,-13.96,-1.22
18.138,-0.16,-14.47,0.51
18.192,-0.86,-7.96,-2.59
