"""Time[sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""16.0""","""2.28""","""-4.39""","""-2.71"""
"""16.1""","""10.24""","""-0.20""","""16.36"""
"""16.2""","""8.98""","""6.63""","""8.36"""
"""16.3""","""-5.06""","""2.35""","""-2.94"""
"""16.4""","""-0.78""","""6.08""","""4.59"""
"""16.5""","""7.45""","""5.22""","""17.30"""
"""16.6""","""4.59""","""-0.39""","""3.92"""
"""16.7""","""2.31""","""-5.57""","""-3.18"""
"""16.8""","""7.49""","""-2.43""","""10.98"""
"""16.9""","""3.84""","""5.77""","""13.22"""
"""17.0""","""-0.04""","""2.51""","""1.73"""
