Time [sec],ACC X,ACC Y,ACC Z,,
59075,-8.66908,-6.080123,0.470719,,
59156,-15.219921,-17.220478,-1.372931,,
59237,-4.079566,-11.414941,-1.569064,,
59318,2.432049,6.472389,-1.294478,,
59399,-6.080123,-6.943109,2.07901,,
59480,-8.747532,-19.103355,1.686744,,
60128,-8.982892,-9.218252,-3.80498,,
60209,-12.47406,-13.925444,2.392823,,
60290,-5.334818,-12.709418,-2.588956,,
60371,-1.137571,5.609404,-3.80498,,
60452,-4.118793,0.156906,-2.510503,,
60533,-20.005568,-20.005568,-0.470719,,
60614,-4.236473,-16.906666,-2.118237,,
60695,0.23536,8.041453,1.608291,,
60776,-1.647517,-6.11935,-4.471833,,
60857,-5.491724,-9.571291,-4.118793,,
60938,-3.530394,-15.376828,3.177355,,
61019,-7.413828,-3.334261,-3.216581,,
61100,-2.745862,4.04034,-4.550286,,
61181,-7.021562,-5.374045,3.334261,,
61262,-17.142025,-16.63208,-0.431493,,
61343,-0.862985,-13.493951,0.784532,,
61424,0.431493,8.66908,1.608291,,
61505,-1.804424,-7.374601,-2.981222,,
