""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""155262.0""","""8.9""","""-5.73""","""-0.59"""
"""155363.0""","""12.04""","""-3.84""","""-0.94"""
"""155464.0""","""14.71""","""-3.88""","""-3.49"""
"""155565.0""","""14.12""","""-0.35""","""-1.88"""
"""155666.0""","""6.04""","""-1.84""","""-0.12"""
"""155767.0""","""5.49""","""-2.55""","""2.71"""
"""155868.0""","""13.49""","""-3.49""","""-1.06"""
"""155969.0""","""18.83""","""-1.53""","""0.0"""
"""156070.0""","""7.73""","""-0.39""","""-0.39"""
"""156171.0""","""6.51""","""0.24""","""-0.27"""
"""156272.0""","""8.47""","""-3.8""","""-1.02"""
"""156373.0""","""8.75""","""-3.1""","""-1.06"""
"""156474.0""","""13.49""","""-3.02""","""0.08"""
"""156575.0""","""11.92""","""-2.71""","""-4.43"""
"""156676.0""","""13.45""","""-1.96""","""-2.0"""
"""156777.0""","""5.33""","""-0.2""","""0.67"""
"""156878.0""","""5.69""","""-2.24""","""2.12"""
"""156979.0""","""12.83""","""-2.79""","""1.57"""
"""157080.0""","""17.18""","""-1.41""","""1.61"""
"""157181.0""","""10.75""","""-3.41""","""-0.16"""
"""157282.0""","""5.57""","""0.51""","""-0.94"""
"""157383.0""","""8.94""","""-3.22""","""-1.26"""
"""157484.0""","""9.77""","""-1.73""","""0.63"""
"""157585.0""","""15.53""","""-3.77""","""-0.82"""
"""157686.0""","""10.24""","""-0.47""","""-2.16"""
"""157787.0""","""10.75""","""-2.86""","""-0.63"""
"""157888.0""","""3.22""","""-0.47""","""0.75"""
"""157989.0""","""8.83""","""-1.45""","""1.73"""
"""158090.0""","""10.75""","""-5.18""","""4.71"""
"""158191.0""","""15.77""","""0.86""","""0.39"""
"""158292.0""","""14.4""","""-5.1""","""-2.31"""
"""158393.0""","""6.43""","""-1.45""","""-2.28"""
"""158494.0""","""9.22""","""-5.49""","""-0.67"""
"""158595.0""","""10.2""","""-2.94""","""0.75"""
"""158696.0""","""15.93""","""-4.08""","""-5.26"""
"""158797.0""","""12.67""","""1.8""","""-0.43"""
"""158898.0""","""8.28""","""-3.73""","""-0.51"""
"""158999.0""","""3.73""","""-1.29""","""1.61"""
"""159100.0""","""11.65""","""-2.59""","""-1.1"""
"""159201.0""","""11.73""","""-5.1""","""-1.53"""
"""159302.0""","""6.0""","""0.0""","""-1.29"""
"""159403.0""","""9.45""","""2.9""","""-0.04"""
"""159504.0""","""5.88""","""-3.06""","""-1.73"""
"""159605.0""","""9.34""","""-4.04""","""-0.47"""
"""159706.0""","""11.41""","""-4.28""","""0.24"""
"""159807.0""","""13.3""","""-3.41""","""-4.63"""
"""159908.0""","""13.53""","""-1.06""","""-0.24"""
"""160009.0""","""5.81""","""-1.18""","""-0.67"""
"""160110.0""","""5.81""","""-2.59""","""1.73"""
"""160211.0""","""14.75""","""-2.79""","""0.94"""
"""160312.0""","""20.01""","""-2.28""","""-0.51"""
"""160413.0""","""12.87""","""-3.14""","""-1.37"""
"""160514.0""","""5.92""","""-0.98""","""-1.41"""
"""160615.0""","""9.53""","""-4.28""","""-0.9"""
"""160716.0""","""8.9""","""-2.43""","""-0.04"""
"""160817.0""","""15.38""","""-3.49""","""-1.49"""
"""160918.0""","""10.63""","""-0.82""","""-1.8"""
"""161019.0""","""8.79""","""-5.02""","""-0.43"""
"""161120.0""","""4.35""","""-0.31""","""1.33"""
"""161221.0""","""9.92""","""-2.98""","""1.45"""
"""161322.0""","""9.3""","""-5.77""","""3.92"""
"""161423.0""","""6.79""","""2.71""","""-1.02"""
"""161524.0""","""11.22""","""-0.67""","""-0.27"""
"""161625.0""","""7.57""","""-3.92""","""-1.22"""
"""161726.0""","""7.96""","""-3.92""","""0.0"""
"""161827.0""","""10.2""","""-3.96""","""0.08"""
"""161928.0""","""13.14""","""-4.51""","""-4.04"""
"""162029.0""","""15.38""","""-2.75""","""-1.61"""
"""162130.0""","""5.65""","""-0.55""","""0.39"""
"""162231.0""","""5.45""","""-3.02""","""1.41"""
"""162332.0""","""14.32""","""-2.82""","""1.1"""
"""162433.0""","""20.01""","""-1.96""","""-0.98"""
"""162534.0""","""7.26""","""-3.45""","""-0.2"""
"""162635.0""","""7.1""","""0.43""","""-0.2"""
"""162736.0""","""7.92""","""-3.8""","""-1.06"""
"""162837.0""","""9.41""","""-2.04""","""-0.71"""
"""162938.0""","""13.85""","""-3.41""","""-0.67"""
"""163039.0""","""9.65""","""-1.06""","""-1.96"""
"""163140.0""","""10.71""","""-5.06""","""-1.06"""
"""163241.0""","""4.16""","""-0.16""","""1.06"""
"""163342.0""","""8.75""","""-2.39""","""0.98"""
"""163443.0""","""11.49""","""-4.98""","""4.98"""
"""163544.0""","""10.67""","""1.73""","""-0.98"""
"""163645.0""","""12.51""","""-2.28""","""-0.98"""
"""163746.0""","""6.71""","""-4.67""","""-0.94"""
"""163847.0""","""9.02""","""-4.08""","""0.63"""
"""163948.0""","""9.3""","""-5.02""","""0.16"""
"""164049.0""","""14.0""","""-2.55""","""-2.98"""
"""164150.0""","""14.32""","""0.04""","""-0.59"""
"""164251.0""","""6.12""","""-2.79""","""0.47"""
"""164352.0""","""5.37""","""-1.96""","""2.63"""
"""164453.0""","""13.53""","""-3.92""","""0.75"""
"""164554.0""","""15.42""","""0.71""","""-0.98"""
"""164655.0""","""7.3""","""-2.24""","""-0.27"""
"""164756.0""","""8.75""","""1.53""","""-0.75"""
"""164857.0""","""7.81""","""-3.92""","""-1.22"""
"""164958.0""","""8.71""","""-4.67""","""-0.2"""
"""165059.0""","""12.51""","""-1.73""","""-0.24"""
"""165160.0""","""9.06""","""-1.37""","""-1.49"""
"""165261.0""","""12.28""","""-4.98""","""-0.2"""
"""1653627.5""","""5.22""","""0.35""","""0.86"""
"""165564.0""","""11.77""","""-4.47""","""5.33"""
"""165665.0""","""17.69""","""-0.12""","""-2.82"""
"""165766.0""","""9.38""","""-5.1""","""-0.86"""
"""165867.0""","""7.18""","""-1.88""","""-0.51"""
"""165968.0""","""8.71""","""-4.04""","""-0.24"""
"""166069.0""","""9.96""","""-2.16""","""-0.71"""
"""166170.0""","""13.85""","""-3.73""","""-1.77"""
"""166271.0""","""9.96""","""-0.47""","""-0.86"""
"""166372.0""","""9.57""","""-5.1""","""-1.14"""
"""166473.0""","""5.69""","""-1.37""","""0.75"""
"""166574.0""","""7.81""","""-2.82""","""0.2"""
"""166675.0""","""11.45""","""-5.69""","""3.37"""
"""166776.0""","""18.83""","""-0.98""","""-3.02"""
"""166877.0""","""6.32""","""-4.24""","""-1.45"""
"""166978.0""","""9.22""","""2.55""","""-1.84"""
"""167079.0""","""5.61""","""-2.98""","""-2.59"""
"""167180.0""","""10.71""","""-0.59""","""-2.55"""
"""167281.0""","""10.55""","""-1.96""","""-1.92"""
"""167382.0""","""8.12""","""-4.98""","""-1.92"""
"""167483.0""","""9.22""","""-2.28""","""-2.04"""
"""167584.0""","""10.4""","""-1.8""","""-1.88"""
"""167685.0""","""12.79""","""-5.92""","""-3.22"""
"""167786.0""","""9.34""","""-2.47""","""-3.73"""
"""167887.0""","""11.41""","""-2.59""","""-2.24"""
"""167988.0""","""7.49""","""-0.43""","""-0.27"""
"""168089.0""","""7.49""","""-1.22""","""0.08"""
"""168190.0""","""8.83""","""-1.18""","""0.78"""
"""168291.0""","""9.38""","""-3.06""","""1.65"""
"""168392.0""","""20.01""","""2.71""","""-7.26"""
"""168493.0""","""8.43""","""-0.47""","""-1.84"""
"""168594.0""","""8.32""","""-0.75""","""-2.28"""
"""168695.0""","""9.1""","""-3.73""","""-1.8"""
"""168796.0""","""6.94""","""-4.82""","""0.9"""
