"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""16.206790656000003""","""8.28""","""-0.94""","""-2.47"""
"""16.299065344000002""","""5.88""","""-1.18""","""-1.06"""
"""16.3577856""","""10.12""","""-1.45""","""-4.43"""
"""16.458448896""","""13.85""","""-4.28""","""-5.18"""
"""16.52555776""","""10.51""","""-1.61""","""-3.37"""
"""16.60944384""","""1.73""","""-1.61""","""-5.77"""
"""16.701718528""","""12.08""","""-0.51""","""-3.30"""
"""16.760438784""","""7.92""","""-1.29""","""-4.16"""
"""16.886267904""","""7.85""","""-3.33""","""-2.79"""
"""16.953376768000002""","""7.49""","""-2.63""","""-1.29"""
"""17.020485632""","""8.79""","""-2.63""","""-2.00"""
"""17.087594496""","""14.95""","""-4.39""","""-2.04"""
"""17.188257792""","""13.22""","""-6.08""","""-4.79"""
"""17.255366656""","""4.39""","""1.61""","""-4.71"""
"""17.339252736000002""","""12.04""","""-4.51""","""-4.86"""
"""17.431527424000002""","""8.28""","""-3.49""","""-2.63"""
"""17.498636288""","""7.92""","""-1.61""","""-2.28"""
"""17.582522368""","""7.53""","""0.51""","""-1.10"""
"""17.674797056000003""","""9.02""","""-1.69""","""-2.47"""
"""17.733517312""","""11.30""","""-3.30""","""-1.96"""
"""17.850957824""","""11.49""","""1.45""","""-4.28"""
"""17.918066688""","""2.12""","""-1.10""","""-5.02"""
"""17.985175552""","""11.73""","""-2.00""","""-4.55"""
"""18.052284416000003""","""8.83""","""-0.94""","""-4.08"""
"""18.144559104000002""","""8.12""","""-2.71""","""-2.94"""
"""18.228445184""","""6.98""","""-2.82""","""-1.49"""
"""18.312331264""","""8.98""","""-2.28""","""-1.14"""
"""18.379440128000002""","""12.63""","""-2.08""","""-0.71"""
"""18.463326208""","""14.71""","""-7.22""","""-4.28"""
"""18.547212288""","""2.59""","""-0.71""","""-5.22"""
"""18.647875584""","""10.94""","""-5.02""","""-5.06"""
"""18.714984448000003""","""10.20""","""-3.77""","""-3.53"""
"""19.201523712""","""7.14""","""-0.90""","""-2.86"""
"""19.704840192000002""","""8.00""","""-0.63""","""-2.04"""
"""19.730006016""","""8.51""","""-1.06""","""-1.8412.51"""
"""19.738394624""","""16.63""","""-2.55""","""-4.435.84"""
"""19.755171840000003""","""15.10""","""-4.16""","""-5.37"""
"""19.839057920000002""","""5.18""","""-1.80""","""-4.39"""
"""19.922944""","""10.12""","""-2.31""","""-4.20"""
"""20.031995904000002""","""9.49""","""-4.31""","""-1.80"""
"""20.09071616""","""7.88""","""-1.18""","""-3.49"""
"""20.174602240000002""","""8.28""","""-1.06""","""-1.65"""
"""20.25848832""","""7.10""","""-1.06""","""-0.55"""
"""20.317208576000002""","""12.79""","""-1.96""","""-2.12"""
"""20.401094656""","""16.36""","""-2.24""","""-7.02"""
"""20.493369344""","""7.69""","""0.71""","""-5.49"""
"""20.577255424""","""7.92""","""-3.06""","""-5.33"""
"""20.703084544000003""","""12.83""","""-0.78""","""-4.12"""
"""20.770193408""","""6.63""","""-1.88""","""-3.14"""
"""20.837302272000002""","""6.32""","""-3.84""","""-1.57"""
"""20.904411136""","""8.75""","""-2.86""","""-1.49"""
