"""Time [sec]""","""ACC X""","""ACC Y""","""ACC Z"""
"""12.079595520000002""","""-2.82""","""-0.24""","""-1.61"""
"""12.171870208000001""","""1.84""","""4.31""","""0.27"""
"""12.24736768""","""-0.35""","""-8.79""","""-3.69"""
"""12.322865152""","""-13.81""","""5.45""","""-7.92"""
"""12.406751232000001""","""-20.01""","""-2.82""","""-9.34"""
"""12.482248704000002""","""-14.00""","""1.84""","""-7.61"""
"""12.566134784""","""1.14""","""-1.45""","""-0.43"""
"""12.641632256000001""","""0.31""","""4.51""","""-0.55"""
"""12.725518336""","""-2.51""","""3.53""","""-3.77"""
"""12.801015808""","""-20.01""","""1.26""","""-3.84"""
"""12.876513280000001""","""-20.01""","""9.89""","""-9.41"""
"""13.019119616000001""","""-8.51""","""-0.86""","""-4.28"""
"""13.103005696""","""4.43""","""1.88""","""0.75"""
"""13.153337344""","""-2.28""","""-1.37""","""-2.04"""
"""13.220446208""","""-15.38""","""2.51""","""-7.30"""
"""13.723762688""","""-20.01""","""-1.10""","""-10.79"""
"""13.740539904""","""-17.30""","""1.45""","""-9.41"""
"""13.748928512""","""-1.88""","""-0.27""","""0.47"""
"""13.790871552""","""-0.98""","""0.47""","""0.43-2.12"""
"""13.816037376""","""-20.01""","""2.79""","""-10.24"""
"""13.88314624""","""-13.89""","""3.96""","""-6.35"""
"""13.950255104""","""5.18""","""0.27""","""0.94"""
"""14.017363968000002""","""-0.82""","""0.08""","""-2.59"""
"""14.109638656000001""","""-3.73""","""-6.12""","""-6.71"""
"""14.185136128000002""","""-20.01""","""12.63""","""-7.53"""
"""14.2606336""","""-20.01""","""2.16""","""-8.63"""
"""14.361296896""","""-4.82""","""1.26""","""-4.04"""
"""14.436794368000001""","""-3.06""","""2.75""","""0.86"""
"""14.503903232""","""-0.16""","""0.59""","""-3.26"""
"""14.604566528000001""","""-8.94""","""1.10""","""-8.00"""
"""14.680064000000002""","""-19.46""","""1.92""","""-10.32"""
"""14.755561472""","""-17.85""","""3.53""","""-7.02"""
"""14.831058944""","""1.53""","""1.33""","""-1.65"""
"""14.914945024000001""","""-0.55""","""2.35""","""-1.41"""
"""15.007219712000001""","""1.02""","""-5.92""","""-6.24"""
"""15.074328576000001""","""-20.01""","""9.38""","""-13.14"""
"""15.149826048000001""","""-20.01""","""0.90""","""-8.00"""
"""15.233712128""","""-5.02""","""2.94""","""-5.18"""
"""15.325986816""","""-4.08""","""-2.43""","""1.77"""
"""15.409872896000001""","""-0.94""","""2.39""","""-2.67"""
"""15.485370368000002""","""-9.57""","""0.51""","""-7.49"""
"""15.552479232000001""","""-20.01""","""3.77""","""-9.57"""
"""15.636365312""","""-19.73""","""2.31""","""-6.51"""
"""15.737028608000001""","""-1.92""","""-1.06""","""-0.98"""
"""15.820914688""","""0.63""","""0.75""","""-0.86"""
"""15.879634944000001""","""-1.49""","""0.55""","""-3.37"""
"""15.963521024""","""-18.63""","""5.22""","""-8.94"""
"""16.047407104""","""-20.01""","""-0.43""","""-7.81"""
"""16.122904576""","""-11.38""","""0.39""","""-5.49"""
"""16.223567872""","""3.37""","""-2.39""","""0.94"""
"""16.31584256""","""0.82""","""5.30""","""-2.63"""
"""16.382951424""","""-4.86""","""-0.16""","""-6.32"""
"""16.466837504""","""-20.01""","""-0.43""","""-11.45"""
"""16.550723584""","""-20.01""","""3.26""","""-8.71"""
"""16.634609664000003""","""-6.79""","""1.65""","""-2.47"""
"""16.701718528""","""1.22""","""1.02""","""1.92"""
"""16.785604608""","""-2.79""","""-0.35""","""-1.77"""
"""16.861102080000002""","""-14.24""","""0.04""","""-9.45"""
