ACC Z,ACC Y,ACC X,Time [sec]
0.35,-7.37,-1.97,19.491
0.35,-7.37,-1.97,19.583
0.35,-7.37,-1.97,19.674
0.35,-7.37,-1.97,19.742
0.29,-10.49,-1.09,19.819
6.42,-15,-3.44,19.901
5.88,-13.96,-2.92,19.983
5.88,-13.96,-2.92,20.061
5.88,-13.96,-2.92,20.149
5.88,-13.96,-2.92,20.215
5.88,-13.96,-2.92,20.324
5.88,-13.96,-2.92,20.396
5.88,-13.96,-2.92,20.469
5.88,-13.96,-2.92,20.554
10.72,-18.97,-3.26,20.633
5.1,-18.82,0.03,20.711
5.28,-16.16,-1.11,20.787
5.28,-16.16,-1.11,20.865
5.28,-16.16,-1.11,20.949
5.28,-16.16,-1.11,21.038
5.28,-16.16,-1.11,21.099
5.28,-16.16,-1.11,21.191
5.28,-16.16,-1.11,21.28
5.28,-16.16,-1.11,21.345
0.54,-16.16,-1.62,21.435
0.65,-10.57,-3.23,21.504
-0.12,-7.49,-2.12,21.593
-0.12,-7.49,-2.12,21.674
-0.12,-7.49,-2.12,21.764
-0.12,-7.49,-2.12,21.847
-0.12,-7.49,-2.12,21.911
-0.12,-7.49,-2.12,22.004
-0.12,-7.49,-2.12,22.087
-0.12,-7.49,-2.12,22.162
0.6,-1.94,-2.59,22.241
0.25,-0.63,-2.18,22.321
0.76,-1.19,-1.77,22.409
0.76,-1.19,-1.77,22.499
0.76,-1.19,-1.77,22.588
0.76,-1.19,-1.77,22.655
0.76,-1.19,-1.77,22.732
0.76,-1.19,-1.77,22.822
0.76,-1.19,-1.77,22.91
0.76,-1.19,-1.77,22.99
0.31,1.16,-1.97,23.059
2.33,-2.55,-4.21,23.136
3.15,-8.75,-4.13,23.21
3.15,-8.75,-4.13,23.289
3.15,-8.75,-4.13,23.367
3.15,-8.75,-4.13,23.452
3.15,-8.75,-4.13,23.531
3.15,-8.75,-4.13,23.618
3.15,-8.75,-4.13,23.692
3.15,-8.75,-4.13,23.801
8.28,-12.5,-3.74,23.87
6.12,-15.85,0.13,23.953
5.71,-11.09,-0.1,24.031
5.71,-11.09,-0.1,24.097
5.71,-11.09,-0.1,24.204
5.71,-11.09,-0.1,24.282
5.71,-11.09,-0.1,24.363
5.71,-11.09,-0.1,24.439
5.71,-11.09,-0.1,24.511
5.71,-11.09,-0.1,24.586
0.65,-15.25,1.48,24.673
0.22,-11.19,0.13,24.769
-1.12,-7.86,-0.65,24.838
-1.12,-7.86,-0.65,24.911
-1.12,-7.86,-0.65,24.986
-1.12,-7.86,-0.65,25.089
-1.12,-7.86,-0.65,25.178
-1.12,-7.86,-0.65,25.244
-1.12,-7.86,-0.65,25.321
-1.12,-7.86,-0.65,25.41
-1.92,-5.61,-2.14,25.499
-2.24,-1.66,-1.15,25.56
-0.67,-3.83,-1.54,25.653
-0.67,-3.83,-1.54,25.74
-0.67,-3.83,-1.54,25.809
-0.67,-3.83,-1.54,25.89
-0.67,-3.83,-1.54,25.977
-0.67,-3.83,-1.54,26.059
-0.67,-3.83,-1.54,26.143
-0.67,-3.83,-1.54,26.209
-0.68,0.14,-0.73,26.282
-5.23,-3.91,-1.01,26.374
-6.16,-9.83,-0.18,26.459
-6.16,-9.83,-0.18,26.528
-6.16,-9.83,-0.18,26.609
-6.16,-9.83,-0.18,26.716
-6.16,-9.83,-0.18,26.782
-6.16,-9.83,-0.18,26.852
-6.16,-9.83,-0.18,26.967
-6.16,-9.83,-0.18,27.043
-1.69,-10.12,0.21,27.109
3.27,-14.07,-1.63,27.188
3.26,-11.53,-0.18,27.281
3.26,-11.53,-0.18,27.357
3.26,-11.53,-0.18,27.431
3.26,-11.53,-0.18,27.507
3.26,-11.53,-0.18,27.599
3.26,-11.53,-0.18,27.662
3.26,-11.53,-0.18,27.765
3.26,-11.53,-0.18,27.841
-1.77,-17.47,-1.07,27.92
0.17,-14.97,-0.33,27.994
1.31,-8.75,-2.05,28.081
1.31,-8.75,-2.05,28.156
1.31,-8.75,-2.05,28.23
1.31,-8.75,-2.05,28.311
1.31,-8.75,-2.05,28.401
1.31,-8.75,-2.05,28.483
1.31,-8.75,-2.05,28.555
1.31,-8.75,-2.05,28.633
2.94,-6.8,-2.3,28.715
1.57,-1.58,-1.99,28.794
0.26,-4.55,-1.28,28.887
0.26,-4.55,-1.28,28.963
0.26,-4.55,-1.28,29.055
0.26,-4.55,-1.28,29.144
0.26,-4.55,-1.28,29.227
0.26,-4.55,-1.28,29.297
0.26,-4.55,-1.28,29.386
0.26,-4.55,-1.28,29.46
-0.05,-0.98,0.05,29.538
-0.13,-0.98,-0.76,29.613
4.81,-4.72,-0.07,29.691
4.81,-4.72,-0.07,29.765
4.81,-4.72,-0.07,29.864
4.81,-4.72,-0.07,29.928
4.81,-4.72,-0.07,30.033
4.81,-4.72,-0.07,30.106
4.81,-4.72,-0.07,30.185
4.81,-4.72,-0.07,30.262
5.22,-3.47,-0.81,30.343
4.94,-4,0.17,30.434
2.62,-6.05,-1.65,30.517
2.62,-6.05,-1.65,30.597
2.62,-6.05,-1.65,30.668
2.62,-6.05,-1.65,30.745
2.62,-6.05,-1.65,30.841
2.62,-6.05,-1.65,30.922
2.62,-6.05,-1.65,31
2.62,-6.05,-1.65,31.077
3.23,-7.82,-1.87,31.146
5.88,-15,-2.98,31.233
4.73,-14.21,-2.51,31.309
4.73,-14.21,-2.51,31.415
4.73,-14.21,-2.51,31.482
4.73,-14.21,-2.51,31.566
4.73,-14.21,-2.51,31.651
4.73,-14.21,-2.51,31.724
4.73,-14.21,-2.51,31.799
4.73,-14.21,-2.51,31.885
7.85,-19.22,-3.86,31.957
6.3,-18.84,-2.94,32.056
4.79,-12.64,-2.8,32.135
4.79,-12.64,-2.8,32.216
4.79,-12.64,-2.8,32.292
4.79,-12.64,-2.8,32.365
4.79,-12.64,-2.8,32.452
4.79,-12.64,-2.8,32.53
4.79,-12.64,-2.8,32.611
4.79,-12.64,-2.8,32.694
0.13,-12.64,-0.97,32.772
-0.97,-9.09,-1.24,32.85
-1.2,-8.67,-1.16,32.932
-1.2,-8.67,-1.16,33.012
-1.2,-8.67,-1.16,33.116
-1.2,-8.67,-1.16,33.212
-1.2,-8.67,-1.16,33.282
-1.2,-8.67,-1.16,33.346
-1.2,-8.67,-1.16,33.416
-1.2,-8.67,-1.16,33.495
-0.8,-6.24,-3.47,33.571
-1.15,-1.75,-1.48,33.652
-0.13,-3.31,-1.91,33.737
-0.13,-3.31,-1.91,33.821
-0.13,-3.31,-1.91,33.901
-0.13,-3.31,-1.91,33.976
-0.13,-3.31,-1.91,34.083
-0.13,-3.31,-1.91,34.172
-0.13,-3.31,-1.91,34.234
-0.13,-3.31,-1.91,34.305
-0.31,1.29,0.51,34.393
1.1,-1.32,-1.84,34.475
2.5,-4.35,-2.38,34.562
2.5,-4.35,-2.38,34.635
2.5,-4.35,-2.38,34.728
2.5,-4.35,-2.38,34.806
2.5,-4.35,-2.38,34.892
2.5,-4.35,-2.38,34.972
2.5,-4.35,-2.38,35.05
2.5,-4.35,-2.38,35.123
3.78,-4.85,-3.52,35.218
-0.16,-10.66,-7.92,35.291
-3.45,-13.47,-5.92,35.377
-3.45,-13.47,-5.92,35.47
-3.45,-13.47,-5.92,35.537
-3.45,-13.47,-5.92,35.622
-3.45,-13.47,-5.92,35.691
-3.45,-13.47,-5.92,35.772
-3.45,-13.47,-5.92,35.851
-3.45,-13.47,-5.92,35.937
-9.79,-17.44,-5.01,36.013
-7.36,-17.44,0.85,36.089
-4.07,-14.03,-1.44,36.172
-4.07,-14.03,-1.44,36.245
-4.07,-14.03,-1.44,36.335
-4.07,-14.03,-1.44,36.433
-4.07,-14.03,-1.44,36.506
-4.07,-14.03,-1.44,36.594
-4.07,-14.03,-1.44,36.679
-4.07,-14.03,-1.44,36.746
1.6,-15.52,-1.05,36.831
2.82,-9.32,-2.35,36.91
0.47,-5.58,-1.23,36.985
0.47,-5.58,-1.23,37.063
0.47,-5.58,-1.23,37.141
0.47,-5.58,-1.23,37.22
0.47,-5.58,-1.23,37.32
0.47,-5.58,-1.23,37.396
0.47,-5.58,-1.23,37.474
0.47,-5.58,-1.23,37.563
-1.35,-0.38,-2.55,37.651
4.18,-4.09,-3.28,37.722
4.24,-11.24,-1.07,37.806
4.24,-11.24,-1.07,37.882
4.24,-11.24,-1.07,37.96
4.24,-11.24,-1.07,38.04
4.24,-11.24,-1.07,38.12
4.24,-11.24,-1.07,38.198
4.24,-11.24,-1.07,38.289
4.24,-11.24,-1.07,38.364
6.29,-17.52,2.24,38.446
0.21,-13.15,2.47,38.524
0.37,-6.05,0.08,38.603
0.37,-6.05,0.08,38.71
0.37,-6.05,0.08,38.783
0.37,-6.05,0.08,38.856
0.37,-6.05,0.08,38.924
