"""TIME""","""ACCX""","""ACCY""","""ACCZ"""
"""0.5900000000000003""","""6.12""","""-4.12""","""-2.79""","""811"""
"""0.6000000000000003""","""5.81""","""5.92""","""-3.69""","""812"""
"""0.6100000000000003""","""6.63""","""-1.73""","""-2.59""","""813"""
"""0.6200000000000003""","""9.61""","""2.59""","""-2.98""","""814"""
"""0.6300000000000003""","""0.27""","""-1.06""","""-2.00""","""815"""
"""0.6400000000000003""","""5.77""","""2.04""","""-0.47""","""816"""
"""0.6500000000000004""","""-6.63""","""11.06""","""18.28""","""817"""
"""0.6600000000000004""","""6.39""","""0.86""","""-2.04""","""818"""
"""0.6700000000000004""","""1.77""","""-0.04""","""2.55""","""819"""
"""0.6800000000000004""","""4.63""","""-3.57""","""2.51""","""820"""
"""0.6900000000000004""","""4.39""","""-1.33""","""-0.90""","""821"""
"""0.7000000000000004""","""2.51""","""-8.00""","""-2.94""","""822"""
"""0.7100000000000004""","""16.95""","""-0.75""","""-2.67""","""823"""
"""0.7200000000000004""","""10.79""","""1.49""","""-7.10""","""824"""
"""0.7300000000000004""","""13.22""","""-4.16""","""3.14""","""825"""
"""0.7400000000000004""","""13.38""","""-17.57""","""-15.02""","""826"""
"""0.7500000000000004""","""20.01""","""-10.67""","""-16.83""","""827"""
"""0.7600000000000005""","""11.77""","""5.02""","""-11.89""","""828"""
"""0.7700000000000005""","""12.08""","""-5.14""","""-2.39""","""829"""
"""0.7800000000000005""","""8.36""","""-6.67""","""-1.49""","""830"""
"""0.7900000000000005""","""3.80""","""-1.73""","""2.79""","""831"""
"""0.8000000000000005""","""3.37""","""0.43""","""-2.71""","""832"""
"""0.8100000000000005""","""-1.73""","""2.51""","""2.08""","""833"""
"""0.8200000000000005""","""-1.92""","""-2.12""","""-3.18""","""834"""
"""0.8300000000000005""","""4.71""","""-7.96""","""-6.98""","""835"""
"""0.8400000000000005""","""17.46""","""-11.10""","""-3.37""","""836"""
"""0.8500000000000005""","""8.32""","""4.12""","""-4.75""","""837"""
"""0.8600000000000005""","""14.00""","""-1.45""","""-5.53""","""838"""
"""0.8700000000000006""","""13.93""","""-4.82""","""-9.49""","""839"""
"""0.8800000000000006""","""14.91""","""-0.75""","""-5.26""","""840"""
"""0.8900000000000006""","""10.32""","""1.33""","""-6.04""","""841"""
"""0.9000000000000006""","""4.71""","""1.06""","""-0.51""","""842"""
"""0.9100000000000006""","""-3.33""","""-1.84""","""12.04""","""843"""
"""0.9200000000000006""","""0.59""","""-1.96""","""3.65""","""844"""
"""0.9300000000000006""","""16.40""","""-9.30""","""-7.30""","""845"""
"""0.9400000000000006""","""5.30""","""-2.00""","""-6.32""","""846"""
"""0.9500000000000006""","""18.12""","""-20.01""","""-5.96""","""847"""
"""0.9600000000000006""","""20.01""","""-11.30""","""-12.43""","""848"""
"""0.9700000000000006""","""19.10""","""-20.01""","""6.24""","""849"""
"""0.9800000000000006""","""6.83""","""-5.26""","""-3.18""","""850"""
"""0.9900000000000007""","""16.63""","""-4.39""","""-6.39""","""851"""
"""1.0000000000000007""","""11.57""","""-2.08""","""-9.49""","""852"""
"""1.0100000000000007""","""10.63""","""0.31""","""-8.63""","""853"""
"""1.0200000000000007""","""6.63""","""1.26""","""-2.63""","""854"""
"""1.0300000000000007""","""7.69""","""1.88""","""-1.61""","""855"""
"""1.0400000000000007""","""3.41""","""-0.90""","""-1.10""","""856"""
