""
"""Time [sec]""",""" ACC X""","""ACC Y""","""ACC Z"""
"""657436.0""","""11.06""","""2.43""","""19.97"""
"""657537.0""","""2.63""","""-4.12""","""1.57"""
"""657638.0""","""-4.82""","""8.94""","""4.24"""
"""657739.0""","""20.01""","""-20.01""","""-1.88"""
"""657840.0""","""20.01""","""-5.77""","""8.32"""
"""657941.0""","""5.37""","""-3.33""","""0.0"""
"""658042.0""","""-6.12""","""2.2""","""2.16"""
"""658143.0""","""12.75""","""-17.34""","""4.0"""
"""658244.0""","""20.01""","""-20.01""","""-20.01"""
"""658345.0""","""-5.3""","""1.37""","""2.28"""
"""658446.0""","""1.29""","""-12.71""","""1.53"""
"""658547.0""","""11.22""","""-0.04""","""18.91"""
"""658648.0""","""17.02""","""0.82""","""-3.02"""
"""658749.0""","""1.88""","""-10.63""","""3.02"""
"""658850.0""","""-4.08""","""5.61""","""2.55"""
"""658951.0""","""3.18""","""-2.82""","""12.75"""
"""659052.0""","""6.59""","""-6.9""","""1.37"""
"""659153.0""","""-9.77""","""-0.08""","""3.33"""
"""659254.0""","""13.61""","""-11.26""","""-0.27"""
"""659355.0""","""7.02""","""-4.75""","""11.49"""
"""659456.0""","""4.39""","""-2.0""","""-1.57"""
"""659557.0""","""-1.84""","""-7.06""","""-3.41"""
"""659658.0""","""-1.14""","""7.14""","""17.46"""
"""659759.0""","""20.01""","""-14.83""","""-20.01"""
"""659860.0""","""-7.77""","""-1.37""","""0.82"""
"""659961.0""","""3.18""","""-9.81""","""1.33"""
"""660062.0""","""7.69""","""16.91""","""14.59"""
"""660163.0""","""15.93""","""0.82""","""-4.39"""
"""660264.0""","""3.06""","""-10.98""","""-7.57"""
"""660365.0""","""-4.59""","""4.24""","""1.65"""
"""660466.0""","""5.57""","""-13.3""","""1.33"""
"""660567.0""","""7.77""","""-6.86""","""-0.39"""
"""660668.0""","""-11.45""","""9.85""","""4.12"""
"""660769.0""","""20.01""","""-20.01""","""17.1"""
"""660870.0""","""6.16""","""-6.86""","""11.34"""
"""660971.0""","""5.18""","""0.55""","""1.61"""
"""661072.0""","""-4.79""","""-2.12""","""1.1"""
"""661173.0""","""2.63""","""-8.12""","""13.81"""
"""661274.0""","""20.01""","""-20.01""","""-20.01"""
"""661375.0""","""-0.67""","""0.27""","""-0.31"""
"""661476.0""","""0.47""","""-8.12""","""-1.88"""
"""661577.0""","""13.65""","""17.97""","""12.94"""
"""661678.0""","""15.02""","""1.37""","""-2.31"""
"""661779.0""","""2.16""","""-7.34""","""-8.94"""
"""661880.0""","""-6.98""","""8.9""","""3.57"""
"""661981.0""","""3.41""","""13.26""","""20.01"""
"""662082.0""","""5.33""","""-4.59""","""-1.61"""
"""662183.0""","""-3.45""","""9.45""","""-0.9"""
"""662284.0""","""20.01""","""-20.01""","""2.2"""
"""662385.0""","""19.42""","""-5.41""","""6.24"""
"""662486.0""","""1.14""","""-5.3""","""2.0"""
"""662587.0""","""-8.16""","""0.27""","""6.47"""
"""662688.0""","""20.01""","""-20.01""","""-10.79"""
"""662789.0""","""11.57""","""-13.34""","""6.83"""
"""662890.0""","""-10.16""","""0.63""","""3.84"""
"""662991.0""","""2.39""","""-8.12""","""4.82"""
"""663092.0""","""20.01""","""-10.59""","""-11.69"""
"""663193.0""","""12.51""","""1.65""","""-2.04"""
"""663294.0""","""-1.06""","""-8.94""","""-7.1"""
"""663395.0""","""-2.9""","""2.82""","""0.27"""
"""663496.0""","""20.01""","""-1.1""","""13.42"""
"""663597.0""","""4.08""","""-2.82""","""1.77"""
"""663698.0""","""-8.16""","""18.01""","""-1.69"""
"""663799.0""","""-10.0""","""9.02""","""-12.94"""
"""663900.0""","""16.83""","""-8.43""","""5.65"""
"""664001.0""","""3.45""","""3.06""","""-9.45"""
"""664102.0""","""-7.88""","""1.53""","""3.77"""
"""6642037.5""","""20.01""","""-20.01""","""-20.01"""
"""664405.0""","""-10.51""","""3.88""","""7.14"""
"""664506.0""","""5.06""","""-11.73""","""-1.1"""
"""664607.0""","""13.96""","""-15.69""","""-4.31"""
"""6.649102E7""","""4.35""","""7.1""","""18.99"""
"""665112.0""","""-6.04""","""-5.02""","""-0.04"""
"""6.652132E7""","""6.63""","""-7.1""","""-2.31"""
"""665415.0""","""12.55""","""-0.47""","""-0.35"""
"""665516.0""","""4.59""","""-5.61""","""-4.0"""
"""665617.0""","""-4.63""","""4.08""","""-0.86"""
"""665718.0""","""7.53""","""1.96""","""20.01"""
"""665819.0""","""5.22""","""-2.63""","""2.24"""
"""665920.0""","""-5.22""","""6.79""","""4.28"""
"""666021.0""","""5.61""","""-20.01""","""-15.3"""
"""666122.0""","""13.18""","""-10.36""","""6.98"""
"""666223.0""","""4.0""","""-5.65""","""0.55"""
"""666324.0""","""-7.18""","""0.75""","""3.14"""
"""666425.0""","""20.01""","""-13.89""","""-8.67"""
"""666526.0""","""20.01""","""-13.26""","""-18.04"""
"""666627.0""","""-8.51""","""2.28""","""-0.94"""
"""666728.0""","""2.86""","""-15.02""","""4.24"""
"""666829.0""","""20.01""","""1.53""","""-0.71"""
"""666930.0""","""12.67""","""3.22""","""-6.71"""
"""667031.0""","""2.43""","""-9.69""","""-2.39"""
"""667132.0""","""-5.41""","""-2.86""","""0.16"""
"""667233.0""","""20.01""","""11.61""","""6.35"""
"""667334.0""","""1.84""","""-3.3""","""-0.27"""
"""667435.0""","""-4.59""","""7.06""","""3.18"""
"""667536.0""","""20.01""","""-20.01""","""-7.53"""
"""667637.0""","""18.67""","""-5.61""","""-1.73"""
"""667738.0""","""4.75""","""-7.26""","""1.61"""
"""667839.0""","""-7.96""","""3.02""","""7.18"""
"""667940.0""","""13.77""","""-3.84""","""5.73"""
"""668041.0""","""20.01""","""-19.89""","""-20.01"""
"""668142.0""","""-7.61""","""-0.86""","""4.12"""
"""668243.0""","""5.37""","""-8.67""","""-3.3"""
"""668344.0""","""4.71""","""19.77""","""7.85"""
"""668445.0""","""17.26""","""3.26""","""-8.12"""
"""668546.0""","""-2.39""","""-12.43""","""-2.12"""
"""668647.0""","""-2.75""","""3.96""","""-1.45"""
"""668748.0""","""4.82""","""-10.12""","""16.2"""
"""668849.0""","""4.35""","""-8.2""","""1.02"""
"""668950.0""","""-9.18""","""7.61""","""-2.55"""
"""669051.0""","""9.26""","""-10.2""","""6.51"""
"""669152.0""","""5.96""","""-9.61""","""7.34"""
"""669253.0""","""5.53""","""2.9""","""-7.26"""
"""669354.0""","""-1.77""","""-4.79""","""-3.53"""
"""669455.0""","""-3.45""","""-8.24""","""-1.61"""
"""669556.0""","""20.01""","""5.96""","""-3.69"""
"""669657.0""","""-0.63""","""0.47""","""0.2"""
"""669758.0""","""-1.96""","""7.22""","""0.04"""
"""669859.0""","""20.01""","""-20.01""","""-2.55"""
"""669960.0""","""15.1""","""-0.78""","""10.24"""
"""670061.0""","""3.02""","""-5.49""","""-0.31"""
"""670162.0""","""-4.98""","""-4.04""","""3.14"""
"""670263.0""","""-1.33""","""-12.24""","""11.81"""
"""670364.0""","""20.01""","""-11.85""","""-20.01"""
"""670465.0""","""-3.77""","""2.24""","""0.27"""
"""670566.0""","""-1.84""","""-18.91""","""5.45"""
"""670667.0""","""-3.18""","""6.79""","""20.01"""
"""670768.0""","""19.57""","""2.2""","""-3.84"""
